Group,Model,SIS
Group1,FFNN,0.961627443702872
Group1,FFNN,0.8778681134780242
Group1,FFNN,0.8665273564172266
Group1,FFNN,0.9548431500417492
Group1,FFNN,0.9605945289171524
Group1,FFNN,0.9673288195781402
Group1,FFNN,0.8766947349249119
Group1,FFNN,0.9409572150406612
Group1,FFNN,0.7527815863099756
Group1,FFNN,0.8328081979123395
Group1,FFNN,0.9617086191784588
Group1,FFNN,0.8347715669071101
Group1,FFNN,0.9060237642157288
Group1,FFNN,0.9545859202206184
Group1,FFNN,0.941990715654486
Group1,FFNN,0.8157056684100521
Group1,FFNN,0.909390757371226
Group1,FFNN,0.9284230855492503
Group1,FFNN,0.9228425588445596
Group1,FFNN,0.9375738832186148
Group1,FFNN,0.947477927871038
Group1,FFNN,0.8888516219667598
Group1,FFNN,0.7022436326801441
Group1,FFNN,0.902205527605952
Group1,FFNN,0.9446509722628412
Group1,FFNN,0.8794559913492074
Group1,FFNN,0.8709183755625539
Group1,FFNN,0.9322071038519772
Group1,FFNN,0.9340519371923552
Group1,FFNN,0.893854477534732
Group1,FFNN,0.851219310935276
Group1,FFNN,0.92829685523056
Group1,FFNN,0.9386510232358612
Group1,FFNN,0.9130494282371064
Group1,FFNN,0.9138043836112244
Group1,FFNN,0.8480105266601151
Group1,FFNN,0.8758205881504177
Group1,FFNN,0.8891737332136775
Group1,FFNN,0.8857581691473198
Group1,FFNN,0.8754992166829149
Group1,FFNN,0.9426677367757184
Group1,FFNN,0.8900960784716362
Group1,FFNN,0.7465147016207664
Group1,FFNN,0.8908106923123524
Group1,FFNN,0.843493462502872
Group1,FFNN,0.9374954510583268
Group1,FFNN,0.8967854803594236
Group1,FFNN,0.9217857582572848
Group1,FFNN,0.8919551200450463
Group1,FFNN,0.8952338326802775
Group1,FFNN,0.9056391510418376
Group1,FFNN,0.9697754406029776
Group1,FFNN,0.9184000617044203
Group1,FFNN,0.8928952473422582
Group1,FFNN,0.937523700826093
Group1,FFNN,0.8920332497242651
Group1,FFNN,0.5157459549524611
Group1,FFNN,0.9455825892468316
Group1,FFNN,0.9047854243186296
Group1,FFNN,0.8421688973441955
Group1,FFNN,0.7773873303849357
Group1,FFNN,0.8971956644707779
Group1,FFNN,0.9449424948918116
Group1,FFNN,0.9464087515624652
Group1,FFNN,0.9324245178975324
Group1,FFNN,0.931232975124514
Group1,FFNN,0.913088318173086
Group1,FFNN,0.8875862293881301
Group1,FFNN,0.7912772116518213
Group1,FFNN,0.905070446982477
Group1,FFNN,0.8332937465216514
Group1,FFNN,0.9285372925441208
Group1,FFNN,0.9058657051211024
Group1,FFNN,0.9002448839965017
Group1,FFNN,0.901144448044506
Group1,FFNN,0.8487901150932154
Group1,FFNN,0.869066638602452
Group1,FFNN,0.9071525005826888
Group1,FFNN,0.9565984526770496
Group1,FFNN,0.9133013341864056
Group1,FFNN,0.962046146847544
Group1,FFNN,0.7586170968062254
Group1,FFNN,0.9430918430899604
Group1,FFNN,0.9679032642021936
Group1,FFNN,0.849670747296175
Group1,FFNN,0.7511030090410729
Group1,FFNN,0.9254087507069552
Group1,FFNN,0.9546209081270496
Group1,FFNN,0.7445110903306641
Group1,FFNN,0.8124656460724856
Group1,FFNN,0.9021316130016772
Group1,FFNN,0.9667284198012054
Group1,FFNN,0.9173487609211222
Group1,FFNN,0.8344083988708721
Group1,FFNN,0.9597486918065524
Group1,FFNN,0.9101759594963548
Group1,FFNN,0.8434892018915647
Group1,FFNN,0.8314922494439279
Group1,FFNN,0.9129331303001176
Group1,FFNN,0.8967249598769098
Group1,FFNN,0.8901515422641949
Group1,FFNN,0.390237514552154
Group1,FFNN,0.8983940776749793
Group1,FFNN,0.8766539364566591
Group1,FFNN,0.9294230499694942
Group1,FFNN,0.9321570771420276
Group1,FFNN,0.9394660963167336
Group1,FFNN,0.968509383139431
Group1,FFNN,0.783719725143852
Group1,FFNN,0.7584668091912458
